registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,program name,creation year,registration publish date,registration publish number,actual,publication URL
2019618215,20190626,2019616629,20190610,"Юрочкин Евгений Сергеевич (RU)
Шубадеев Дмитрий Валерьевич (RU)
Хлопков Андрей Владимирович (RU)
Зинченко Денис Александрович (RU)
Ткачев Евгений Владимирович (RU)",5,Акционерное общество «Полюс Красноярск» (RU),"660061, г. Красноярск, ул. Цимлянская, 37, АО «Полюс Красноярск», Отдел науки и технологии, reception@polyus.com, 8(391) 219-12-56",Программа рассылки отчётов по подпискам,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618215
2019618216,20190626,2019616628,20190610,"Каримов Булат Марсович (RU)
Громская Любовь Яковлевна (RU)
Жук Юлия Александровна (RU)
Булдаков Евгений Сергеевич (RU)",4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова» (RU),public@spbftu.ru,Программа расчета объема земляных дорожных работ (OZDR),2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618216
2019618217,20190626,2019616625,20190610,Малюга Олег Владимирович (RU),1,Малюга Олег Владимирович (RU),6933388@gmail.com,«OnyxRobotics Axis - система управления и координации движения роботизированных конечностей»,2016,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618217
2019618218,20190626,2019616857,20190610,Высотин Игорь Геннадьевич (RU),1,Высотин Игорь Геннадьевич (RU),нет,"Система автоматизации исполнительной документации ""Serenity""",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618218
2019618219,20190626,2019616927,20190610,"Рыбалова Елена Владиславовна (RU)
Стрелкова Галина Ивановна (RU)
Анищенко Вадим Семенович (RU)",3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени  Н.Г. Чернышевского» (RU),,Программный комплекс для моделирования влияния шума на устойчивость и время жизни химерных состояний в ансамблях хаотических систем с нелокальной связью,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618219
2019618220,20190626,2019616895,20190611,"Мочалов Валерий Петрович (RU)
Братченко Наталья Юрьевна (RU)
Моисеенко Валерий Анатольевич (RU)
Гостева Дарья Валерьевна (RU)",4,Федеральное государственное автономное образовательное учреждение высшего образования «Северо-Кавказский федеральный университет» (RU),"Тел. 88652956510, patentncfu@yandex.ru",Имитационная модель алгоритма функционирования узлов будущих сетей связи,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618220
2019618221,20190627,2019614799,20190423,"Баев Николай Петрович (RU)
Баев Егор Николаевич (RU)",2,"Баев Николай Петрович (RU)
Баев Егор Николаевич (RU)",Тел.: +7(905)612-88-22; e-mail: baevnp@gmail.com,"Компьютерная программа организации работы персонала ""Slonik""",2013,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618221
2019618222,20190627,2019615451,20190515,"Захаров Евгений Николаевич (RU)
Гомзяков Николай Владимирович (RU)
Рубцов Павел Владимирович (RU)
Баль Михаил Александрович (RU)",4,Захаров Евгений Николаевич (RU),motorkom.z@mail.ru,Модель оценки уровня рисков,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618222
2019618223,20190627,2019615453,20190515,"Захаров Евгений Николаевич (RU)
Гомзяков Николай Владимирович (RU)
Пипко Влас Станиславович (RU)
Баль Михаил Александрович (RU)",4,Захаров Евгений Николаевич (RU),motorkom.z@mail.ru,Модель функционирования нейроподобной системы передачи информации системы связи робототехнических комплексов,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618223
2019618224,20190627,2019615121,20190507,"Денисенко Владимир Анатольевич (RU)
Сундуков Заурбек Амурович (RU)
Залиханов Эльдар Юсуфович (RU)
Шартаев Ислам Сайдулович (RU)
Завода Валентина Сергеевна (RU)",5,федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова» (КБГУ) (RU),нет,HTTP-сервисы для ПК,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618224
2019618225,20190627,2019615130,20190507,"Шартаев Ислам Сайдулович (RU)
Денисенко Владимир Анатольевич (RU)
Залиханов Эльдар Юсуфович (RU)
Сундуков Заурбек Амурович (RU)
Завода Валентина Сергеевна (RU)",5,федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова» (КБГУ) (RU),нет,Программа для управления сайтом «Ранжированные сведения об абитуриентах «Сервис+»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618225
2019618226,20190627,2019615132,20190507,"Залиханов Эльдар Юсуфович (RU)
Денисенко Владимир Анатольевич (RU)
Сундуков Заурбек Амурович (RU)
Шартаев Ислам Сайдулович (RU)
Завода Валентина Сергеевна (RU)",5,федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова» (КБГУ) (RU),нет,Интеграция 1С Бухгалетрия государственного учреждения и 1С Университет ПРОФ,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618226
2019618227,20190627,2019614156,20190416,"Рюмин Дмитрий Александрович (RU)
Кипяткова Ирина Сергеевна (RU)
Карпов Алексей Анатольевич (RU)",3,Акционерное общество «Волжский электромеханический завод» (RU),vemz445@mail.ru,Программное обеспечение модуля голосового управления для роботизированного экзоскелета медицинского назначения,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618227
2019618228,20190627,2019617203,20190617,"Шапиро Владимир Владимирович (RU)
Алексеенко Игорь Алексеевич (RU)
Зотов Евгений Алексеевич (RU)
Балагура Иван Иванович (RU)
Зародов Григорий Николаевич (RU)
Крачковский Кирилл Сергеевич (RU)
Кононенко Евгений Евгеньевич (RU)",7,Шапиро Владимир Владимирович (RU),,Программный модуль для расчета характеристик дискретной случайной величины,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618228
2019618229,20190627,2019617206,20190617,"Варнаков Дмитрий Валерьевич (RU)
Варнаков Валерий Валентинович (RU)
Коткова Елена Валерьевна (RU)
Варнакова Екатерина Алексеевна (RU)
Котков Александр Валерьевич (RU)
Дежаткин Игорь Михайлович (RU)",6,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный университет» (RU),,Расчет остаточной стоимости зданий и оборудования после взрыва,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618229
2019618230,20190627,2019617209,20190617,,3,Общество с ограниченной ответственностью «ТЕСТОГРАФ» (RU),info@testograf.ru,testograf 2.0,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618230
2019618231,20190627,2019617213,20190617,"Матюхин Александр Юрьевич (RU)
Паринов Сергей Вадимович (RU)
Пинюгин Александр Вячеславович (RU)
Смирнов Сергей Анатольевич (RU)
Артемьев Игорь Владимирович (RU)
Беляков Павел Евгеньевич (RU)",6,"Федеральное государственное казённое военное образовательное учреждение высшего образования «Военная академия радиационной, химической и биологической защиты имени Маршала Советского Союза С.К. Тимошенко» Министерства обороны Российской Федерации (RU)",,«Информационно-аналитическая программа «Prognoz Olfaktometriya 1.0»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618231
2019618232,20190627,2019617035,20190618,Кузнецова Анна Олеговна (RU),1,Кузнецова Анна Олеговна (RU),нет,ОБФУСКАТОР ПРОГРАММНОГО КОДА ЯЗЫКА JAVASCRIPT,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618232
2019618233,20190627,2019617080,20190617,,1,Общество с ограниченной ответственностью «Вега-ГАЗ» (RU),нет,Tele_v002,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618233
2019618234,20190627,2019617082,20190617,,1,Общество с ограниченной ответственностью «Вега-ГАЗ» (RU),нет,AMPKRv002,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618234
2019618235,20190627,2019617200,20190617,"Сахабутдинов Ильшат Ильдарович (RU)
Cayшин Сергей Владимирович (RU)
Осиков Роман Викторович (RU)
Камалиев Рамиль Надирович (RU)
Курбангалиев Тимур Рафаэльевич (RU)
Кузнецов Бронислав Викторович (RU)
Нигматуллин Руслан Фанилевич (RU)",7,Открытое акционерное общество «Сетевая компания» (RU),,МОДУЛЬ ПО РАБОТЕ С ПОТРЕБИТЕЛЯМИ И ЭНЕРГОСБЫТОВЫМИ ОРГАНИЗАЦИЯМИ,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618235
2019618236,20190627,2019617060,20190614,Замятин Андрей Георгиевич (RU),1,"Автономная некоммерческая организация ""Институт развития туризма и курортного дела"" (RU)",1@irtikud.ru,"""Интеллектуальная платформа телемаркетинга""",2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618236
2019618237,20190627,2019616692,20190613,"Чураев Александр Анатольевич (RU)
Шепелев Александр Евгеньевич (RU)
Юченко Любовь Васильевна (RU)
Снипич Юрий Федорович (RU)
Кореновский Александр Михайлович (RU)
Вайнберг Мария Владимировна (RU)
Филимонова Валерия Михайловна (RU)",7,Федеральное государственное бюджетное научное учреждение «Российский научно-исследовательский институт проблем мелиорации» (ФГБНУ «РосНИИПМ») (RU),"тел.: +7 (8635) 26-65-00, e-mail: rosniipm@yandex.ru",Расчет тягового усилия для подбора мотор-редуктора,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618237
2019618238,20190627,2019616843,20190610,"Третьякова Ольга Николаевна (RU)
Молотков Андрей Андреевич (RU)",2,"Третьякова Ольга Николаевна (RU)
Молотков Андрей Андреевич (RU)","8(906)736 7669, tretiyakova_olga@mail.ru",«Программа SLMT1 расчета температурных полей для создания лазерного технологического оборудования 3D-печати»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618238
2019618239,20190627,2019616865,20190610,"Решетников Сергей Иванович (RU)
Мещеряков Евгений Павлович (RU)",2,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет» (RU),нет,Программа численного расчета размера зерна адсорбента с учетом влияния внутренней диффузии,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618239
2019618240,20190627,2019616940,20190611,"Петренко Вячеслав Иванович (RU)
Тебуева Фариза Биляловна (RU)
Антонов Владимир Олегович (RU)
Сычков Владислав Борисович (RU)
Бурьянов Андрей Игоревич (RU)",5,Федеральное государственное автономное образовательное учреждение высшего образования «Северо-Кавказский федеральный университет» (RU),"Тел.: 88652956510, patentncfu@yandex.ru",Программный комплекс системы управления антропоморфным манипулятором,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618240
2019618241,20190627,2019617359,20190607,Молчанов Иван Васильевич (KG),1,Государственное образовательное учреждение высшего профессионального образования Кыргызско-Российский Славянский университет (ГОУ ВПО КРСУ) (KG),нет,Программа управления фрезерным станком с числовым программным управлением,2017,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618241
2019618242,20190627,2019616845,20190607,"Шевцов Сергей Александрович (RU)
Миненко Инесса Анатольевна (RU)
Кукушкин Александр Викторович (RU)
Цицилин Андрей Николаевич (RU)
Мочалов Илья Валерьевич (RU)
Петрашень Евгения Павловна (RU)
Будишевский Николай Юрьевич (RU)",7,"Шевцов Сергей Александрович (RU)
Миненко Инесса Анатольевна (RU)","Тел.: +7(909)6450546, адрес электронной почты: 7916@bk.ru",SmartMedFitoLabs BioSoftPatent,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618242
2019618243,20190627,2019616724,20190607,"Прокопенко Владимир Александрович (RU)
Корнеев Денис Борисович (RU)",2,Федеральная служба по ветеринарному и фитосанитарному надзору (RU),info@svfk.mcx.ru,«Программа выдачи и учета лицензий на право выполнения работ по карантинному фитосанитарному обеззараживанию «Аргус-Обеззараживание»,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618243
2019618244,20190627,2019616729,20190607,"Прокопенко Владимир Александрович (RU)
Корнеев Денис Борисович (RU)",2,Федеральная служба по ветеринарному и фитосанитарному надзору (RU),info@svfk.mcx.ru,«Программа выдачи и учета результатов лабораторных исследований в области карантина растений «Аргус-Лаборатория»,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618244
2019618245,20190627,2019616884,20190605,"Селезнев Евгений Федорович (RU)
Белов Александр Анатольевич (RU)
Белоусов Виктор Иванович (RU)
Березнев Валерий Павлович (RU)
Дробышев Юрий Юрьевич (RU)
Чернова Ирина Сергеевна (RU)
Довгополый Александр Олегович (RU)",7,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (Госкорпорация «Росатом») (RU)
Федеральное государственное бюджетное учреждение науки Институт проблем безопасного развития атомной энергетики Российской академии наук (ИБРАЭ РАН) (RU)",нет,Отраслевой нейтронно-физический расчетный код на базе диффузионного приближения. Версия 1.1 (DOLCE VITA/V1.1),2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618245
2019618246,20190627,2019616897,20190605,"Хольшев Николай Васильевич (RU)
Ведищев Сергей Михайлович (RU)
Прохоров Алексей Владимирович (RU)",3,федеральное государственное бюджетное образовательное учреждение высшего образования «Тамбовский государственный технический университет» (RU),нет,«Расчет показателей шнеколопастного смесителя»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618246
2019618247,20190627,2019616905,20190605,"Соловьев Денис Сергеевич (RU)
Соловьева Инна Александровна (RU)",2,федеральное государственное бюджетное образовательное учреждение высшего образования «Тамбовский государственный технический университет» (RU),нет,«Применение теории мультимножеств для выбора единственного результата из совокупности противоречивых решений»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618247
2019618248,20190627,2019616911,20190605,"Дебрин Андрей Сергеевич (RU)
Бастрон Андрей Владимирович (RU)
Себин Алексей Викторович (RU)
Семенов Александр Федорович (RU)",4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский государственный аграрный университет» (RU),нет,«Программа по определению зависимости напряжения от облученности и угла наклона фотоэлектрического модуля»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618248
2019618249,20190627,2019616917,20190605,"Дебрин Андрей Сергеевич (RU)
Бастрон Андрей Владимирович (RU)
Себин Алексей Викторович (RU)
Семенов Александр Федорович (RU)",4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский государственный аграрный университет» (RU),нет,«Программа по определению зависимости силы тока от облученности и угла наклона фотоэлектрического модуля»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618249
2019618250,20190627,2019613148,20190326,"Баранова Евгения Васильевна (RU)
Елизарова Ирина Капитоновна (RU)
Верещагина Наталья Олеговна (RU)
Демидов Михаил Владимирович (RU)
Комарова Светлана Михайловна (RU)",5,федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А.И. Герцена» (RU),"Тел.:(812)643-77-67 доб.26-48, ois@herzen.spb.ru Веселова Ольга Владимировна",Информационная система «Учёт помещений»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618250
2019618251,20190627,2019614322,20190418,"Гюлов Вадим Новрузбекович (RU)
Югов Иван Вячеславович (RU)
Ахмедов Магомедрасул Халикович (RU)
Константинов Михаил Александрович (RU)
Косарев Кирилл Андреевич (RU)
Лобаченко Владимир Дмитриевич (RU)
Чембулатов Азат Бурамбаевич (RU)
Шибаев Анатолий Николаевич (RU)
Ширяев Роман Алексеевич (RU)
Шубин Эдуард Викторович (RU)",10,"Шубин Эдуард Викторович (RU)
Шибаев Анатолий Николаевич (RU)
Ширяев Роман Алексеевич (RU)
Гюлов Вадим Новрузбекович (RU)
Югов Иван Вячеславович (RU)
Ахмедов Магомедрасул Халикович (RU)
Косарев Кирилл Андреевич (RU)
Константинов Михаил Александрович (RU)
Лобаченко Владимир Дмитриевич (RU)
Чембулатов Азат Бурамбаевич (RU)",нет,Контроль выполнения нормативов,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618251
2019618252,20190627,2019614591,20190424,"Лазуренко Светлана Борисовна (RU)
Голубчикова Анастасия Валентиновна (RU)
Мовшович Павел Михайлович (RU)",3,Федеральное государственное автономное учреждение «Национальный медицинский исследовательский центр здоровья детей» Министерства здравоохранения Российской Федерации (ФГАУ «НМИЦ здоровья детей» Минздрава России) (RU),"8-499-134-09-03, nalivaiko@nczd.ru",«Автоматизированная система для оценки эффективности воздействия реабилитационных средств на психофизическое состояние детей с ограниченными возможностями здоровья (ОВЗ)».,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618252
2019618253,20190627,2019615306,20190506,"Ямалетдинова Галина Александровна (RU)
Летунов Евгений Дмитриевич (RU)",2,"Ямалетдинова Галина Александровна (RU)
Летунов Евгений Дмитриевич (RU)","8(961)766-38-86, yamalga@mail.ru, 8(953)044-69-09, defrazo@yandex.ru",«Информационно-диагностическая система самоуправления развитием личности и психофизической подготовленностью»,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618253
2019618254,20190627,2019615293,20190514,"Мамадкулов Сухайл Очилбойевич (RU)
Бахтенко Евгений Андреевич (RU)",2,Мамадкулов Сухайл Очилбойевич (RU),suhail35@mail.ru,«МС Аудирование – Проведение процедур оценки качества образования в устной форме»,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618254
2019618255,20190627,2019615663,20190520,Шарипов Ренат Мазгарович (RU),1,Общество с ограниченной ответственностью «Владимирский завод «Электроприбор-1» (RU),нет,Программное обеспечение для микроконтроллера цифровой носимой радиостанции стандарта DMR «Элодия-351М»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618255
2019618256,20190627,2019615825,20190521,"Притоцкий Егор Михайлович (RU)
Притоцкая Анастасия Павловна (RU)
Лысенко Сергей Леонидович (RU)
Панков Михаил Александрович (RU)",4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых» (RU),нет,Спектральный калькулятор – Spectra Calculator 2.0,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618256
2019618257,20190627,2019616694,20190605,Москальчук Андрей Игоревич (RU),1,Москальчук Андрей Игоревич (RU),нет,Реализация алгоритма Коэна-Сазерленда,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618257
2019618258,20190627,2018661345,20181016,"Пленков Эдуард Русланович (RU)
Сухарев Андрей Дмитриевич (RU)
Барлуков Юрий Георгиевич (RU)
Рычков Артем Владимирович (RU)",4,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Е5 ИНЖИНИРИНГ"" (RU)","Сухарев Андрей, 89501409801, mr.andrey.sd@gmail.com",QLines,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618258
2019618259,20190627,2019614560,20190424,,4,Общество с ограниченной ответственностью «ГлавЭко» (RU),нет,ГлавЭко,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618259
2019618260,20190627,2019615997,20190524,Поляков Евгений Артурович (RU),1,Поляков Евгений Артурович (RU),нет,Цифровая лаборатория БДЖ (Цифровая лаборатория безопасности жизнедеятельности),2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618260
2019618261,20190627,2019614711,20190429,Липатова Марина Владимировна (RU),1,Липатова Марина Владимировна (RU),нет,Клиент-серверный мессенджер,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618261
2019618262,20190627,2019614899,20190429,Марданов Ринат Ильдарович (RU),1,Марданов Ринат Ильдарович (RU),нет,Вспомогательный инструмент для ручного определения темпа музыки,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618262
2019618263,20190627,2019614901,20190429,"Шинов Александр Александрович (RU)
Черкашин Дмитрий Александрович (RU)
Кашаев Тимур Рустамович (RU)",3,Общество с ограниченной ответственностью «РДЛ-Телеком» (RU),нет,Мультимедийная информационно-развлекательная платформа,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618263
2019618264,20190627,2019614910,20190430,Голузина Дарья Романовна (RU),1,Голузина Дарья Романовна (RU),нет,«Программа для построения дерева и расчета меток для проверки гипотезы Рингеля - Коцига»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618264
2019618265,20190627,2019612491,20190312,"Заозерский Сергей Анатольевич (RU)
Охтилев Павел Алексеевич (RU)
Бахмут Алексей Дмитриевич (RU)
Крылов Алексей Валерианович (RU)
Автамонов Павел Николаевич (RU)",5,"Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет аэрокосмического приборостроения» (RU)
Общество с ограниченной ответственностью «Центр Интеллектуальных Технологий «Петроинт» (RU)",нет,Редактор базы знаний и данных автоматизированной системы управления сложными организационно-техническими объектами,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618265
2019618266,20190627,2019613987,20190410,"Алексеев Сергей Иванович (RU)
Илюшин Игорь Владимирович (RU)
Мартынов Александр Николаевич (RU)
Михайлов Алексей Евгеньевич (RU)",4,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная академия Ракетных войск стратегического назначения имени Петра Великого» Министерства обороны Российской Федерации (RU),нет,Программа термостатирования воздухонаполненного макета военной техники,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618266
2019618267,20190627,2019614537,20190416,"Шебалов Александр Дмитриевич (RU)
Кулигина Наталья Олеговна (RU)
Косырева Ольга Николаевна (RU)",3,"Шебалов Александр Дмитриевич (RU)
Кулигина Наталья Олеговна (RU)
Косырева Ольга Николаевна (RU)","+7-902-301-88-00, shebalov@dzr.ranepa.ru, 603138, Нижегородская обл., г. Нижний Новгород, ул. Краснодонцев, 23, кв. 98","Программа ""Абитуриент 2.0""",2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618267
2019618268,20190627,2019614782,20190429,"Хлебников Сергей Германович (RU)
Малюгин Александр Викторович (RU)
Исупов Александр Анатольевич (RU)",3,"Хлебников Сергей Германович (RU)
Малюгин Александр Викторович (RU)
Исупов Александр Анатольевич (RU)","8-900-641-44-50, e190ng@mail.ru",Программный комплекс учета и оценки деятельности научных сотрудников подразделения из числа лиц гражданского персонала,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618268
2019618269,20190627,2019614931,20190507,"Медведев Всеволод Игоревич (RU)
Скворцов Алексей Владимирович (RU)
Петренко Денис Александрович (RU)",3,"Общество с ограниченной ответственностью ""ИндорСофт"" (RU)","+7(905)0895200, golyshev@indorsoft.ru",IndorForest: Система управления лесным хозяйством,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618269
2019618270,20190627,2019615522,20190508,"Лейсле Артем Валерьевич (RU)
Карпов Григорий Николаевич (RU)
Ковальский Евгений Ростиславович (RU)",3,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский горный университет» (RU),нет,ПРОГРАММА ДЛЯ РАСЧЕТА МЕТАНОВЫДЕЛЕНИЯ В ВЫРАБОТАННОЕ ПРОСТРАНСТВО ИЗ ПЛАСТОВ-СПУТНИКОВ,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618270
2019618271,20190627,2019616080,20190527,"Гудков Михаил Юрьевич (RU)
Добрынин Алексей Сергеевич (RU)
Койнов Роман Сергеевич (RU)",3,Гудков Михаил Юрьевич (RU),"654080, г. Новокузнецк, ул. Тольятти, 62, корп. 6, кв. 7, Гудков М.Ю., 22goodkoff@gmail.com, 8-906-932-0229",Подсистема мониторинга технологических параметров оборудования сложного технического объекта с интегрированной базой знаний,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618271
2019618272,20190627,2019617382,20190624,"Ахметова Ирина Гареевна (RU)
Мухаметова Лилия Рафаэльевна (RU)
Газизов Фарит Насибуллович (RU)",3,Федеральное государственное бюджетное образовательное учреждение высшего  образования «Казанский государственный энергетический университет» (RU),,Программный комплекс «ГВС Оптимум»,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618272
2019618273,20190627,2019617378,20190625,"Закалкин Павел Владимирович (RU)
Добрышин Михаил Михайлович (RU)
Любимов Владимир Алексеевич (RU)
Евтешин Сергей Николаевич (RU)",4,"Федеральное государственное казенное военное образовательное учреждение высшего образования ""Академия Федеральной службы охраны Российской Федерации"" (RU)",,Программа выбора маршрута доставки грузов с учетом деструктивного воздействия на транспортную инфраструктуру,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618273
2019618274,20190627,2019617375,20190620,"Клевин Антон Сергеевич (RU)
Киршин Александр Викторович (RU)",2,"Публичное акционерное общество «Транснефть» (ПАО «Транснефть») (RU)
Акционерное общество «Транснефть - Прикамье» (АО «Транснефть - Прикамье») (RU)",нет,Модуль обработки перечислений денежных средств физических лиц и сотрудников на счет предприятия,2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618274
2019618275,20190627,2019617303,20190621,"Владимиров Юрий Николаевич (RU)
Резников Роман Владимирович (RU)
Сташуль Светлана Петровна (RU)",3,Общество с ограниченной ответственностью “Центр Диагностики Строительных Конструкций” (RU),,Автоматизированная система измерения параметров строительных конструкций «Монитор» (АСИП СК «Монитор»),2019,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618275
2019618276,20190627,2019617315,20190620,Жданов Александр Эдуардович (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",,Программа оценивания характеристик генераторов белого шума,2018,20190627,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618276
